player_id,name,team_id,position,birth_date,nationality
521,R. Lewandowski,529,Attacker,1988-08-21,Poland
538,F. de Jong,529,Midfielder,1997-05-12,Netherlands
583,João Félix,529,Attacker,1999-11-10,Portugal
633,İ. Gündoğan,529,Midfielder,1990-10-24,Germany
855,João Cancelo,529,Defender,1994-05-27,Portugal
931,Ferran Torres,529,Attacker,2000-02-29,Spain
1257,J. Koundé,529,Defender,1998-11-12,France
1496,Raphinha,529,Attacker,1996-12-14,Brazil
18949,Oriol Romeu,529,Midfielder,1991-09-24,Spain
133609,Pedri,529,Midfielder,2002-11-25,Spain
263530,Pau Victor,529,Attacker,2001-11-26,Spain
296667,Gavi,529,Midfielder,2004-08-05,Spain
336557,Aleix Garrido,529,Midfielder,2004-02-22,Spain
340279,Vitor Roque,529,Attacker,2005-02-28,Brazil
340626,Fermín López,529,Midfielder,2003-05-11,Spain
348539,Unai Hernández,529,Midfielder,2004-12-14,Spain
386827,Ángel Alarcón,529,Attacker,2004-05-15,Spain
386828,Lamine Yamal,529,Attacker,2007-07-13,Spain
392270,Marc Guiu,529,Attacker,2006-01-04,Spain
396630,Pau Prim,529,Midfielder,2006-02-22,Spain
45,T. Lemar,530,Midfielder,1995-11-12,France
48,Saúl,530,Midfielder,1994-11-21,Spain
50,Koke,530,Midfielder,1992-01-08,Spain
53,Á. Correa,530,Attacker,1995-03-09,Argentina
56,A. Griezmann,530,Attacker,1991-03-21,France
59,Álvaro Morata,530,Attacker,1992-10-23,Spain
667,M. Depay,530,Attacker,1994-02-13,Netherlands
753,Marcos Llorente,530,Midfielder,1995-01-30,Spain
915,Gabriel Paulista,530,Defender,1990-11-26,Brazil
10322,Marcos Paulo,530,Attacker,2001-02-01,Portugal
126936,Samuel Lino,530,Attacker,1999-12-23,Brazil
136117,Rodrigo Riquelme,530,Midfielder,2000-04-02,Spain
162138,Marco Moreno,530,Defender,2001-02-20,Spain
185308,Sergio Guerrero,530,Midfielder,1999-04-10,Spain
286038,Álex Calatrava,530,Attacker,2000-06-22,Spain
336587,S. El Jebari,530,Attacker,2004-02-05,Morocco
336590,Aitor Gismera,530,Midfielder,2004-02-21,Spain
340154,A. Vermeeren,530,Midfielder,2005-02-07,Belgium
386849,A. Raihani,530,Attacker,2004-02-03,Morocco
386850,Adrián Niño,530,Attacker,2004-06-19,Spain
898,Ander Herrera,531,Midfielder,1989-08-14,Spain
2672,Muniain,531,Attacker,1992-12-19,Spain
30510,Álex Berenguer,531,Attacker,1995-07-04,Spain
47007,Ruíz de Galarreta,531,Midfielder,1993-08-06,Spain
47270,Unai Simón,531,Goalkeeper,1997-06-11,Spain
47278,Dani Vivian,531,Defender,1999-07-05,Spain
47281,Dani García,531,Midfielder,1990-05-24,Spain
47282,Raúl García,531,Midfielder,1986-07-11,Spain
47291,Gorka Guruzeta,531,Attacker,1996-09-12,Spain
47294,I. Williams,531,Attacker,1994-06-15,Ghana
47418,Mikel Vesga,531,Midfielder,1993-04-08,Spain
104853,Asier Villalibre,531,Attacker,1997-09-30,Spain
128398,Oihan Sancet,531,Midfielder,2000-04-25,Spain
182617,Beñat Prados,531,Defender,2001-02-08,Spain
183799,Nico Williams,531,Attacker,2002-07-12,Spain
288525,Malcom Adu,531,Attacker,2001-10-12,Spain
313025,Hugo Rincón,531,Defender,2003-01-27,Spain
332308,Unai Gómez,531,Midfielder,2003-05-25,Spain
383780,Mikel Jauregizar,531,Midfielder,2003-11-13,Spain
440413,Aingeru Olabarrieta,531,Attacker,2005-11-14,Spain
918,José Gayà,532,Defender,1995-05-25,Spain
8493,R. Yaremchuk,532,Attacker,1995-11-27,Ukraine
19352,Sergi Canós,532,Midfielder,1997-02-02,Spain
41157,André Almeida,532,Midfielder,2000-05-30,Portugal
47264,Hugo Duro,532,Attacker,1999-11-10,Spain
47463,Pepelu,532,Midfielder,1998-08-11,Spain
161875,Hugo González,532,Midfielder,2003-02-07,Spain
161877,Pablo Gozálbez,532,Midfielder,2001-04-30,Spain
162127,Diego López,532,Attacker,2002-05-13,Spain
162931,Fran Pérez,532,Midfielder,2002-09-09,Spain
196290,Marco Camus,532,Midfielder,2001-11-16,Spain
270516,P. González,532,Attacker,2002-07-25,Dominican Republic
288074,Alberto Marí,532,Attacker,2001-07-11,Spain
297743,Javi Navarro,532,Midfielder,2004-02-24,Spain
315699,Javi Guerra,532,Midfielder,2003-05-13,Spain
333369,Joselu Pérez,532,Attacker,2004-03-12,Spain
348326,Martín Tejón,532,Midfielder,2004-04-12,Spain
364414,Mario Domínguez,532,Attacker,2004-02-10,Spain
406266,A. Fadal,532,Midfielder,2004-01-14,Ghana
439578,David Otorbi,532,Attacker,2007-10-16,Spain
671,B. Traoré,533,Midfielder,1995-09-06,Burkina Faso
924,F. Coquelin,533,Midfielder,1991-05-13,France
925,Gonçalo Guedes,533,Attacker,1996-11-29,Portugal
928,Dani Parejo,533,Midfielder,1989-04-16,Spain
1461,Denis Suárez,533,Midfielder,1994-01-06,Spain
1702,Alfonso Pedraza,533,Midfielder,1996-04-09,Spain
1705,Manu Trigueros,533,Midfielder,1991-10-17,Spain
1707,Gerard Moreno,533,Attacker,1992-04-07,Spain
8492,A. Sørloth,533,Attacker,1995-12-05,Norway
18802,É. Capoue,533,Midfielder,1988-07-11,France
47467,José Luis Morales,533,Attacker,1987-07-23,Spain
47541,Santi Comesaña,533,Midfielder,1996-10-05,Spain
182685,Diego Collado,533,Attacker,2001-01-09,Spain
184194,Álex Forés,533,Attacker,2001-04-12,Spain
184226,Yeremy Pino,533,Midfielder,2002-10-20,Spain
184420,Carlos Romero,533,Defender,2001-10-29,Spain
187987,Ramon Terrats,533,Midfielder,2000-10-18,Spain
290482,Jorge Pascual,533,Attacker,2003-04-09,Spain
290740,Ilias Akhomach,533,Attacker,2004-04-16,Morocco
391131,Reque,533,Midfielder,2004-02-12,Spain
176,É. Lamela,536,Midfielder,1992-03-04,Argentina
385,Óliver Torres,536,Midfielder,1994-11-10,Spain
760,M. Díaz,536,Attacker,1993-08-01,Dominican Republic
957,D. Sow,536,Midfielder,1997-02-06,Switzerland
1493,M. Acuña,536,Defender,1991-10-28,Argentina
1911,L. Ocampos,536,Midfielder,1994-07-11,Argentina
22233,B. Soumaré,536,Midfielder,1999-02-27,France
25458,D. Lukébakio,536,Attacker,1997-09-24,Belgium
47013,Rafa Mir,536,Attacker,1997-06-18,Spain
47389,Joan Jordán,536,Midfielder,1994-07-06,Spain
47422,Y. En-Nesyri,536,Attacker,1997-06-01,Morocco
162531,Xavi Sintes,536,Midfielder,2001-08-05,Spain
180560,H. Mejbri,536,Midfielder,2003-01-21,Tunisia
182772,Juanlu Sánchez,536,Midfielder,2003-08-15,Spain
185398,Isaac Romero,536,Attacker,2000-05-18,Spain
285290,Miguel Capi,536,Attacker,2001-03-06,Spain
286271,Israel Dominguez,536,Attacker,2003-05-07,Spain
311344,A. Véliz,536,Attacker,2003-09-19,Argentina
341453,Oso,536,Attacker,2003-07-09,Spain
386270,I. Sow,536,Attacker,2007-01-26,Senegal
570,F. Cervi,538,Midfielder,1994-05-26,Argentina
1364,Jaílson,538,Midfielder,1995-09-07,Brazil
2032,J. Strand Larsen,538,Attacker,2000-02-06,Norway
2433,R. Tapia,538,Midfielder,1995-07-28,Peru
19026,L. de la Torre,538,Midfielder,1998-05-23,USA
22235,J. Bamba,538,Attacker,1996-03-26,Côte d'Ivoire
26845,T. Douvikas,538,Attacker,1999-08-02,Greece
47434,Kevin Vázquez,538,Defender,1993-03-23,Spain
47435,Fran Beltrán,538,Midfielder,1999-02-03,Spain
47445,Iago Aspas,538,Attacker,1987-08-01,Spain
47988,C. Starfelt,538,Defender,1995-06-01,Sweden
64309,Manu Sánchez,538,Defender,2000-08-24,Spain
67955,Carles Pérez,538,Attacker,1998-02-16,Spain
162034,Carlos Dotor,538,Midfielder,2001-03-15,Spain
192434,Miguel Rodríguez,538,Attacker,2003-04-29,Spain
269163,W. Swedberg,538,Midfielder,2004-02-01,Sweden
